2	2007.01.01 00:00:00		540				11		0	1	02:00:00		-60		3		0	2	02:00:00
6	2007.01.01 00:00:00		240				11		0	1	02:00:00		-60		3		0	2	02:00:00
19	2007.01.01 00:00:00		360				11		0	1	02:00:00		-60		3		0	2	02:00:00
26	2007.01.01 00:00:00		300				11		0	1	02:00:00		-60		3		0	2	02:00:00
38	2007.01.01 00:00:00		-120			2007	9	16	0	0	02:00:00			2007	3	30	0	0	02:00:00
43	2007.01.01 00:00:00		420				11		0	1	02:00:00		-60		3		0	2	02:00:00
48	2007.01.01 00:00:00		210				11		0	1	00:01:00		-60		3		0	2	00:01:00
52	2007.01.01 00:00:00		480				11		0	1	02:00:00		-60		3		0	2	02:00:00
106	2007.01.01 00:00:00		600				11		0	1	02:00:00		-60		3		0	2	02:00:00
8	2008.01.01 00:00:00		-600				4		0	1	03:00:00		-60		10		0	1	02:00:00
37	2008.01.01 00:00:00		-210	Iran Standard Time	0		9	21			00:00:00	Iran Daylight Time	-60		3	21			00:00:00
38	2008.01.01 00:00:00		-120		0	2008	10	5	0	0	02:00:00			2008	3	28	0	0	02:00:00
64	2008.01.01 00:00:00		-600				4		0	1	03:00:00		-60		10		0	1	02:00:00
37	2009.01.01 00:00:00		-210	Iran Standard Time	0		9	22			00:00:00	Iran Daylight Time	-60		3	22			00:00:00
38	2009.01.01 00:00:00		-120			2009	9	27	0	0	02:00:00			2009	3	27	0	0	02:00:00
38	2010.01.01 00:00:00		-120			2010	9	12	0	0	02:00:00			2010	3	26	0	0	02:00:00
38	2011.01.01 00:00:00		-120			2011	10	2	0	0	02:00:00			2011	4	1	0	0	02:00:00
38	2012.01.01 00:00:00		-120			2012	9	23	0	0	02:00:00			2012	3	30	0	0	02:00:00
109	2012.01.01 00:00:00	(GMT-04:00) Falkland Islands	240	Falkland Islands Standard Time	0		4		0	3	02:00:00	Falkland Islands Daylight Time	-60		9		0	1	02:00:00
38	2013.01.01 00:00:00		-120			2013	9	8	0	0	02:00:00			2013	3	29	0	0	02:00:00
38	2014.01.01 00:00:00		-120			2014	9	28	0	0	02:00:00			2014	3	28	0	0	02:00:00
38	2015.01.01 00:00:00		-120			2015	9	20	0	0	02:00:00			2015	3	27	0	0	02:00:00
